building_wing,building_floor,room_number,room_type
C,1,C116,lab_classroom
C,1,C134,classroom
C,1,C135,classroom
C,1,C136,classroom
C,2,C213,computer_classroom
C,2,C221,computer_classroom
C,2,C224,classroom
C,2,C227,classroom
C,2,C232,classroom
C,3,C303,classroom
C,3,C305,classroom
C,3,C306,classroom
C,3,C308,classroom
C,3,C309,classroom
C,3,C310,classroom
C,3,C311,classroom
C,3,C313,classroom
C,3,C314,classroom
C,3,C315,classroom
C,3,C319,classroom
C,3,C320,classroom
D,1,D110,classroom
D,1,D120,shop
D,1,D124,computer_classroom
D,1,D125,computer_classroom
D,1,D126,computer_classroom
D,1,D127,computer_classroom
D,2,D209,network_computer_classroom
D,2,D210,network_computer_classroom
D,2,D211,classroom
D,2,D212,computer_classroom
D,2,D213,computer_classroom
D,2,D225,computer_classroom
D,2,D227,computer_classroom
D,2,D239,project_room
D,3,D312,computer_classroom
D,3,D313,computer_classroom
D,3,D315,computer_classroom
D,3,D316,computer_classroom
D,3,D317,network_computer_classroom
D,3,D325,computer_classroom
D,3,D327,computer_classroom
D,3,D330,project_room
D,3,D332,project_room
